"sid","k","v"
11,"desc","Descripción de polígono. Ejemplo de texto largo con formato simple. Ejemplo de texto largo con formato simple. Ejemplo de texto largo con formato simple. Ejemplo de texto largo con formato simple. Ejemplo de texto largo con formato simple. Ejemplo de texto largo con formato simple."
26,"nombre","Gastón"
26,"fecha","ayer"
27,"fot",""
27,"fos",""
27,"perfil ","dto 580 art. 24 y dto 1275/00"
27,"altura máxima",""
27,"nombre","AE Plaza España"
27,"codigo","AE 580-8"
27,"graficos"," 580 - gráfico 8"
48,"fot",""
48,"fos",""
48,"perfil ","dto. 580 art. 12 y 13"
48,"altura máxima",""
48,"nombre","AE Mercado Sur"
48,"codigo","AE 580-1"
48,"graficos"," 580 - gráfico 1"
30,"fot","s/perfil"
30,"fos","80%"
30,"perfil ","gráfico 13- ord 8057"
30,"altura máxima","21 m"
30,"nombre","Perfil V"
30,"codigo","V"
30,"graficos",""
35,"fot","s/perfil"
35,"fos","80"
35,"perfil ","gráfico 14 - ord. 8057"
35,"altura máxima","36 m"
35,"nombre","Perfil VI"
35,"codigo","VI"
35,"graficos",""
50,"fot","s/perfil"
50,"etiqueta nueva","nuevo valor "
50,"tipo","C1"
50,"fos","80%"
50,"perfil ","Perfil I gráfico 8 - ord 8057"
50,"altura máxima","12m - 21m"
50,"nombre","Zona 1"
50,"codigo","1"
50,"graficos",""
55,"propiedad 1","valor1"
56,"prop1","val1"
56,"prop2","val2"
51,"test","test"
51,"prop2","val2"
51,"nueva propiedad","estilo mejorado"
51,"prop1","val1"
51,"propiedad 1","valor1"
69,"fot","s/perfil"
69,"fos","80%"
69,"perfil ","Perfil X gráfico 9 - ord 8057"
69,"altura máxima","36 m + 45º"
69,"nombre","Zona 5"
69,"codigo","5"
69,"graficos",""
72,"aguante","carlos"
72,"hola","mundo"
52,"fot","s/perfil"
52,"fos","80%"
52,"perfil ","Perfil III gráfico 11 - ord 8057"
52,"link","decreto562-02.pdf"
52,"altura máxima","8 m - 21 "
52,"nombre","Zona 13"
52,"codigo","13"
52,"graficos","562/1.jpg"
99,"perfil ","dto 580 art. 24 y dto 1275/00"
99,"nombre","AE Plaza España"
99,"codigo","AE 580-8"
99,"graficos"," 580 - gráfico 8"
32,"link-Supermercado de la Muni","texto del supermercado"
32,"link-Enlace","decreto562-02.pdf"
32,"fos","80%"
32,"altura máxima","8 m - 21 m"
32,"codigo","2"
32,"graficos","562/1.jpg"
31,"fot","s/perfil"
31,"codigo","9"
31,"fos","80%"
31,"perfil ","Perfil II gráfico 10 - ord 8057"
31,"altura máxima","8 m"
31,"nombre","Zona 9"
31,"prueba4","valor4"
31,"prueba5","valor5"
170,"nombre","Cabaña del Pilar"
170,"link-Enlace","perfiles 562.pdf"
170,"graficos"," 562 - gráfico 14"
170,"legislación","decreto 562 artículo 18"
170,"tipo","área especial"
226,"nombre","Plaza Colón"
226,"link-Enlace","perfiles 580.pdf"
226,"graficos"," 580 - gráfico 2"
226,"legislación","decreto 580 artículo 14 y 15"
226,"tipo","área especial"
234,"FOT","1"
234,"FOS","60%"
234,"prueba","klñkkgñlkgk"
234,"tipo","zona"
234,"altura máxima","10,50 m"
"null","nombre","Portal del Abasto"
"null","link-Enlace","perfiles 10998.pdf"
"null","graficos","gráfico 1 -2"
"null","legislación","Ord, 10998"
"null","tipo","área especial"
211,"FOT","2"
211,"FOS","70%"
211,"pepe","http://intranet/cim/CIM/CIM%20nuevo/OBRASPRIVADAS/resol-237.pdf"
211,"tipo","zona"
211,"altura máxima","12 m"
472,"FOT","2"
472,"FOS","70%"
472,"link-prueba","http://www.cordoba.gov.ar/cordobaciudad/principal2/docs/Obrasprivadas2013/10378.pdf"
472,"tipo","zona"
472,"altura máxima","12 m"
466,"FOT","según perfil"
466,"tipo","zona"
466,"FOS","80%"
466,"legislación","XXIII, gráfico 15 - ord 8256"
466,"altura máxima","12 m + 45º hasta 21 m"
466,"link-graficos xxx","<a href='http://www.cordoba.gov.ar/cordobaciudad/principal2/docs/obrasprivadas2013/10378.pdf'/>Ver</a> "
403,"link-prueba","http://intranet/cim/CIM/CIM%20nuevo/OBRASPRIVADAS/memo1-11-13.pdf"
475,"link-prueba","http://intranet/cim/CIM/CIM%20nuevo/OBRASPRIVADAS/memo11-10-13.pdf"
