"sid","lat","lon","seq"
"158","-31.397865585264","-64.164204326018",1
"158","-31.406464379482","-64.16070672546",2
"158","-31.407141993248","-64.163115349156",3
"158","-31.409660109632","-64.162198033673",4
"158","-31.411885152598","-64.170427050932",5
"158","-31.410456736016","-64.170963492733",6
"158","-31.409998905587","-64.169246878964",7
"158","-31.409545651262","-64.167589273792",8
"158","-31.408478892542","-64.167991605144",9
"158","-31.408790222521","-64.169161048274",10
"158","-31.407750925767","-64.169541921954",11
"158","-31.408314070371","-64.171585765224",12
"158","-31.400068013884","-64.1745844749",13
"158","-31.399866546469","-64.171054687837",14
"158","-31.398556997732","-64.166215982774",15
"158","-31.398089951457","-64.164831962921",16
"158","-31.397865585264","-64.164204326018",17
"191","-31.388267704774","-64.243329491969",1
"191","-31.394678611618","-64.243071999904",2
"191","-31.394678611618","-64.232514825221",3
"191","-31.387461731228","-64.232085671779",4
"191","-31.388267704774","-64.243329491969",5
"190","-31.390282608376","-64.245475259181",1
"190","-31.387351825208","-64.238093819972",2
"190","-31.39559441972","-64.23654886758",3
"190","-31.395447891025","-64.246033158656",4
"190","-31.39537462659","-64.245990243312",5
"190","-31.390282608376","-64.245475259181",6
"297","-31.40808515021","-64.222472634668",1
"297","-31.411894309048","-64.222300973291",2
"297","-31.415263820651","-64.20942637002",3
"297","-31.404129321591","-64.210542168969",4
"297","-31.40808515021","-64.222472634668",5
"303","-31.414018580461","-64.199984994287",1
"303","-31.418047238952","-64.209683862085",2
"303","-31.423906796978","-64.209769692773",3
"303","-31.423760312489","-64.201615777368",4
"303","-31.41958540837","-64.198440041895",5
"303","-31.414384829292","-64.199984994287",6
"303","-31.414018580461","-64.199984994287",7
"315","-31.4608501991","-64.190452423445",1
"315","-31.460154669992","-64.190280762068",2
"315","-31.458507343601","-64.192812767378",3
"315","-31.4574640219","-64.192576732985",4
"315","-31.456251374616","-64.200360503545",5
"315","-31.457134549474","-64.200054731718",6
"315","-31.457081269282","-64.200327840469",7
"315","-31.463540749901","-64.20201274431",8
"315","-31.464254556525","-64.201626506207",9
"315","-31.465508280626","-64.200896945358",10
"315","-31.466020746958","-64.200215664264",11
