"sid","lat","lon","seq"
"288","-31.36397797926","-64.253806588256",1
"288","-31.365332387504","-64.254367129038",2
"288","-31.365850131838","-64.252560649571",3
"288","-31.366244051287","-64.252383623775",4
"288","-31.367145788846","-64.251598027143",5
"288","-31.366989516424","-64.251307722677",6
"288","-31.365963498359","-64.252144571887",7
"288","-31.36503824032","-64.252552267659",8
"288","-31.363993878721","-64.252766844381",9
"288","-31.363453371231","-64.252466436972",10
"288","-31.363229987983","-64.252737023409",11
"288","-31.363229987983","-64.252737023409",12
"288","-31.36397797926","-64.253806588256",13
"234","-31.435620237614","-64.291276660304",1
"234","-31.435171684187","-64.291287389139",2
"234","-31.434692233126","-64.28819614325",3
"234","-31.434247971606","-64.287081470614",4
"234","-31.434212779613","-64.286993172508",5
"234","-31.433918984393","-64.286394704622",6
"234","-31.433560535535","-64.285937875206",7
"234","-31.432640332251","-64.285761934934",8
"234","-31.431912741508","-64.285519450599",9
"234","-31.431428124627","-64.28502376054",10
"234","-31.431116440663","-64.283823304368",11
"234","-31.431720211184","-64.28266576354",12
"234","-31.430182762594","-64.281449666269",13
"234","-31.428630326037","-64.280159244819",14
"234","-31.424798998813","-64.276974647759",15
"234","-31.423463440681","-64.275857704575",16
"234","-31.421964680112","-64.273824752625",17
"234","-31.421236405954","-64.272705448053",18
"234","-31.420479801086","-64.271836679919",19
"234","-31.420118940687","-64.271535685776",20
"234","-31.420062868977","-64.268251571652",21
"234","-31.420021485296","-64.261556779504",22
"234","-31.419988257816","-64.256181448386",23
"234","-31.419036064765","-64.254765242026",24
"234","-31.418678989878","-64.250650733404",25
"234","-31.420198837667","-64.24898239939",26
"234","-31.420986219005","-64.250720470829",27
"234","-31.42157217292","-64.251514404698",28
"234","-31.427568834556","-64.25160023539",29
"234","-31.432283497688","-64.25160023539",30
"234","-31.432357408063","-64.253504533553",31
"234","-31.42974792988","-64.253554698957",32
"234","-31.427640724001","-64.253548810461",33
"234","-31.42378777807","-64.253660171915",34
"234","-31.423348323359","-64.253831833292",35
"234","-31.422153869242","-64.254780458658",36
"234","-31.421297507479","-64.25567719309",37
"234","-31.420894663376","-64.256535499971",38
"234","-31.420852922127","-64.261546279161",39
"234","-31.420802738401","-64.267570522573",40
"234","-31.420781962483","-64.271129200141",41
"234","-31.421538070579","-64.271981706429",42
"234","-31.422796123412","-64.273700511338",43
"234","-31.423488863178","-64.274754310398",44
"234","-31.424463293523","-64.275786652654",45
"234","-31.42481608835","-64.276085300894",46
"234","-31.426995148857","-64.277929946337",47
"234","-31.430010018588","-64.279837206494",48
"234","-31.432902494457","-64.280216026608",49
"234","-31.433720164319","-64.279827315848",50
"234","-31.434271996259","-64.278551422547",51
"234","-31.434640740622","-64.277189698558",52
"234","-31.434640740622","-64.277189698558",53
"234","-31.435620237614","-64.291276660304",54
"538","-31.440050731372","-64.21475204791",1
"538","-31.440361956552","-64.213378756889",2
"538","-31.445545076899","-64.214774846699",3
"538","-31.443346004338","-64.19790777529",4
"538","-31.43437526743","-64.194882243522",5
"538","-31.433880936559","-64.194656937964",6
"538","-31.432992965301","-64.194930523284",7
"538","-31.432654252398","-64.194774955161",8
"538","-31.432513699286","-64.194671522606",9
"538","-31.432513699286","-64.194671522606",10
"538","-31.43237046497","-64.194270699866",11
"538","-31.432233148164","-64.194002478965",12
"538","-31.43117122474","-64.193637698539",13
"538","-31.426391305616","-64.191582992309",14
"538","-31.426700134892","-64.190665720979",15
"538","-31.433317945733","-64.19341894662",16
"538","-31.434098861715","-64.194252474028",17
"538","-31.434056267913","-64.194457982814",18
"538","-31.443789942263","-64.197646108031",19
"538","-31.446158233393","-64.215763569026",20
"538","-31.441080516628","-64.214475780413",21
"538","-31.441080516628","-64.214475780413",22
"538","-31.440805908336","-64.215377002642",23
"538","-31.440780559287","-64.215630162204",24
"538","-31.440675129411","-64.216683083841",25
