"codigo","tipo","nombre","FOS","FOT","altura máxima","legislación","graficos","link-Enlace"
"1","zona",,"80%","según perfil","12m - 21m","Perfil I gráfico 8 - ord 8057",,"perfiles 8057.pdf"
"2","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"3","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"4","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"5","zona",,"80%","según perfil","36 m + 45º","Perfil X gráfico 9 - ord 8057",,"perfiles 8057.pdf"
"6","zona",,"80%","según perfil","10,50 m - 21 m +45º","Perfil XXV gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"7","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"8","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"9","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"10","zona",,"80%","según perfil","8 m - 21 m","Perfil II gráfico 10 - ord 8057",,"perfiles 8057.pdf"
"11","zona",,"80%","según perfil","10,50 m - 21,00 + 45º","Perfil IV gráfico 11 - ord 8057",,"perfiles 8057.pdf"
"12","zona",,"80%","según perfil","8 m - 21 m + 45º","Perfil III gráfico 11 - ord 8057",,"perfiles 8057.pdf"
"13","zona",,"80%","según perfil","8 m - 21 m + 45º","Perfil III gráfico 11 - ord 8057",,"perfiles 8057.pdf"
"14","zona",,"80%","según perfil","8 m - 21 m + 45º","Perfil III gráfico 11 - ord 8057",,"perfiles 8057.pdf"
"A","zona",,"80%","según perfil","10,50 m - 21+45º","XX gráfico 7 - ord 8256",,"perfiles 8256.pdf"
"AE 10998-1","área especial","Portal del Abasto",,,,"Ord, 10998","gráfico 1 -2","perfiles 10998.pdf"
"AE 562-1","área especial","Río Suquía tramo 1",,,,"decreto 562 artículo 11 gráfico 7","562/1.jpg","perfiles 562.pdf"
"AE 562-10","área especial","Cervecería Río Segundo",,,,"decreto 562 artículo 14 gráfico 10"," 562 - gráfico 10","perfiles 562.pdf"
"AE 562-11","área especial","Barrancas Bº Pueyrredon",,,,"decreto 562 artículo 15 gráfico 11"," 562 - gráfico 11","perfiles 562.pdf"
"AE 562-12","área especial","Balcón Ruta 9 - Matadero",,,,"decreto 562 artículo 16"," 562 - gráfico 12","perfiles 562.pdf"
"AE 562-13","área especial","Hipódromo",,,,"decreto 562 artículo 17"," 562 - gráfico 13","perfiles 562.pdf"
"AE 562-14","área especial","Cabaña del Pilar",,,,"decreto 562 artículo 18"," 562 - gráfico 14","perfiles 562.pdf"
"AE 562-15","área especial","Pucará - Bº Kronfuss",,,,"decreto 562 artículo 19"," 562 - gráfico 15","perfiles 562.pdf"
"AE 562-16","área especial","Hospital Misericordia ",,,,"decreto 562 artículo 20"," 562 - gráfico 16","perfiles 562.pdf"
"AE 562-17","área especial","Playa de Alta",,,,"decreto 562 artículo 21"," 562 - gráfico 17","perfiles 562.pdf"
"AE 562-2","área especial","Río Suquía tramo 2",,,,"decreto 562 artículo 11 gráfico 7","562/2.jpg","perfiles 562.pdf"
"AE 562-3","área especial","Río Suquía tramo 3",,,,"decreto 562 artículo 11 gráfico 7","562/3.jpg","perfiles 562.pdf"
"AE 562-4","área especial","Río Suquía tramo 4",,,,"decreto 562 artículo 11 gráfico 7","562/4.jpg","perfiles 562.pdf"
"AE 562-5","área especial","Río Suquía tramo 5",,,,"decreto 562 artículo 11 gráfico 7","562/5.jpg","perfiles 562.pdf"
"AE 562-6","área especial","Río Suquía tramo 6",,,,"decreto 562 artículo 11 gráfico 7","562/6.jpg","perfiles 562.pdf"
"AE 562-7","área especial","Río Suquía tramo 7",,,,"decreto 562 artículo 11 gráfico 7","562/7.jpg","perfiles 562.pdf"
"AE 562-8","área especial","Quinta Santa Ana",,,,"decreto 562 artículo 12 gráfico 8"," 562 - gráfico 8","perfiles 562.pdf"
"AE 562-9","área especial","Observatorio - Nvo Tribunales",,,,"decreto 562 artículo 13 gráfico 9"," 562 - gráfico 9","perfiles 562.pdf"
"AE 580-1","área especial","Mercado Sur",,,,"decreto 580 artículo 12 y 13"," 580 - gráfico 1","perfiles 580.pdf"
"AE 580-10","área especial","Molino Río de la Plata",,,,"decreto 580 art 28 y 29 y decreto 4713/11"," 580 - gráfico 10","perfiles 580.pdf"
"AE 580-2","área especial","Plaza Colón",,,,"decreto 580 artículo 14 y 15"," 580 - gráfico 2","perfiles 580.pdf"
"AE 580-3","área especial","Paseo Sobremonte",,,,"decreto 580 artículo 16"," 580 - gráfico 3","perfiles 580.pdf"
"AE 580-4","área especial","Mercado Norte",,,,"decreto 580 artículo 17 y 18"," 580 - gráfico 4","perfiles 580.pdf"
"AE 580-5","área especial","Terminal de Omnibus",,,,"decreto 580 artículo 19"," 580 - gráfico 5","perfiles 580.pdf"
"AE 580-6","área especial","Cuchi Corral",,,,"decreto 580 artículo 20 y 21"," 580 - gráfico 6","perfiles 580.pdf"
"AE 580-7","área especial","Pasaje Revol",,,,"decreto 580 artículo 22 y 23"," 580 - gráfico 7","perfiles 580.pdf"
"AE 580-8","área especial","Plaza España",,,,"decreto 580 artículo 24 y decreto 1275/00"," 580 - gráfico 8","perfiles 580.pdf"
"AE 580-9","área especial","Ex Plaza Gral. Paz",,,,"decreto 580 artículo 25, 26, 27"," 580 - gráfico 9","perfiles 580.pdf"
"B","zona",,"80%","según perfil","21 m + 45º hasta 36 m","XXI y XXII gráfico 13 y 14 ord 8256",,"perfiles 8256.pdf"
"C1","zona",,"80%","según perfil","12 m + 45º hasta 21 m","XXIII, gráfico 15 - ord 8256",,"perfiles 8256.pdf"
"C2","zona",,"80%","según perfil","21 m","XXIV gráfico 16 - ord 8256",,"perfiles 8256.pdf"
"C4","zona",,"80%","según perfil","18 m","XXVII gráfico 10- ord 8256",,"perfiles 8256.pdf"
"D","zona",,"70%","2","12 M + 45º","gráfico 17 - ord 8256",,"perfiles 8256.pdf"
"E","zona",,"70%","2","8 m a 12 m","gráfico 18 - ord 8256",,"perfiles 8256.pdf"
"F1","zona",,"60%","1","10,50 m",,,
"F2","zona",,"60%","1","10,50 m",,,
"F3","zona",,"60%","1","10,50 m",,,
"F4","zona",,"60%","1,5","10,50 m",,,
"F5","zona",,"60%","1 - 1,5","10,50 -12 m",,,
"G1","zona",,"70%","1","10,50 m",,,
"G2","zona",,"70%","1,5","10,50 m",,,
"G3","zona",,"70%","2","12 m",,,
"H1","zona",,"70%","1","10,50 m",,,
"H2","zona",,"70%","2","12 m",,,
"I","zona",,"70%","2","12 m",,,
"IX","perfil",,"80%","s/perfil","36 m","grafico 13 - Ord. 8057",,"perfiles 8057.pdf"
"J1","zona",,,,,"Urbanización Parque ord 6646/77",,"perfiles 6646.pdf"
"J2","zona",,,,,"Urbanización Parque ord 6646/77",,"perfiles 6646.pdf"
"K","zona",,"60%","1","10,50 m",,,
"L","zona",,"80% - 60%","1,5","s/limite",,,
"M","zona",,"50%","0,5","s/limite",,,
"N","zona",,"30%","0,3",,,,
"U","zona",,"70%","según perfil","10,50 m - 12 m fos 60%","XVIII gráfico 18 - ord 8256",,"perfiles 8256.pdf"
"V","perfil",,"80%","según perfil","21 m","gráfico 13- ord 8057",,"perfiles 8057.pdf"
"VI","perfil",,"80%","según perfil","36 m","gráfico 14 - ord. 8057",,"perfiles 8057.pdf"
"VII","perfil",,"80%","según perfil","36 m + 45º","gráfico 15 Ord. 8057",,"perfiles 8057.pdf"
"VIII","perfil",,"80%","según perfil","36m + 45º","grafico 16 -ord 8057",,"perfiles 8057.pdf"
"W","zona",,"80%","según perfil","10,50 m","XXV, gráficos 8 -8256",,"perfiles 8256.pdf"
"X","perfil",,"80%","según perfil","36 m + 45º","gráfico 9 - ord - 8057",,"perfiles 8057.pdf"
"XXVI","perfil",,"80%","según perfil","21 m + 45º ","gráfico 12- ord- 8057",,"perfiles 8057.pdf"
"Z","zona",,"80%","según perfil","10,50 m - 21 m +45º","IV gráficos 8 - ord 8256",,"perfiles 8256.pdf"
